,,
id,kavaler_id,failinimi
F-0272,VRK-0438,"0438, hakk, hugo-voldemar.png"
F-0273,VRK-0441,"0441, häll, pietari einar.png"
F-0274,VRK-0442,"0442, haller de hallenburg, józef.png"
F-0275,VRK-0443,"0443, haller de hallenburg, stanisław.png"
F-0276,VRK-0444,"0444, halliku, arthur-johannes.png"
F-0277,VRK-0447,"0447, hanbury-williams, john.png"
F-0278,VRK-0449,"0449, hannikainen, karl onni gerhard.png"
F-0279,VRK-0450,"0450, hänninen, mikko.png"
F-0280,VRK-0451,"0451, hannon, patrick joseph henry.png"
F-0281,VRK-0453,"0453, hannula, erkki.png"
F-0282,VRK-0455,"0455, hansar, paul-johannes.png"
F-0283,VRK-0456,"0456, hansen, andres.png"
F-0284,VRK-0458,"0458, hansen, edgar-harry-hermann.png"
F-0285,VRK-0460,"0460, hansen, karl.png"
F-0286,VRK-0462,"0462, hansen, osvald.png"
F-0287,VRK-0463,"0463, hanson, jaan, hansu p.png"
F-0288,VRK-0464,"0464, hanson, jaan, jaani p.png"
F-0289,VRK-0465,"0465, hanson, paul.png"
F-0290,VRK-0466,"0466, hanssoo, jaan.png"
F-0291,VRK-0467,"0467, hanstein, balder.png"
F-0292,VRK-0470,"0470, harjakas, hans.png"
F-0293,VRK-0471,"0471, harju, kaarlo eerikki.png"
F-0294,VRK-0472,"0472, harjusvuo, vilho akseli.png"
F-0295,VRK-0475,"0475, hartmanis, mārtiņš.png"
F-0296,VRK-0477,"0477, hasmanis, viktors.png"
F-0297,VRK-0478,"0478, haudumägi, august.png"
F-0298,VRK-0481,"0481, havas, väinö rafael.png"
F-0299,VRK-0485,"0485, hedberg, august reinhold.png"
F-0300,VRK-0493,"0493, hein, tiido.png"
F-0301,VRK-0494,"0494, heinaru, enn.png"
F-0302,VRK-0495,"0495, heinmaa, johannes-eduard.png"
F-0303,VRK-0495,"0495, heinmaa, johannes-eduard.png"
F-0304,VRK-0496,"0496, heinmaa, juhan, jakobi p.png"
F-0305,VRK-0501,"0501, heinrichsen, edgar-georg-heinrich.png"
F-0306,VRK-0502,"0502, heinrichsen, johnny.png"
F-0307,VRK-0503,"0503, heinrichsen, karen.png"
F-0308,VRK-0504,"0504, heinsalu, jaak.png"
F-0309,VRK-0505,"0505, heinsalu, kaljo.png"
F-0310,VRK-0506,"0506, heinze, otto-emil-eduard.png"
F-0311,VRK-0508,"0508, heljuste, jaan.png"
F-0312,VRK-0509,"0509, hellat, jüri.png"
F-0313,VRK-0511,"0511, helm, jaan.png"
F-0314,VRK-0514,"0514, helsingius, karl birger.png"
F-0315,VRK-0515,"0515, helske, lauri jafet.png"
F-0316,VRK-0516,"0516, henderson, loy wesley.png"
F-0317,VRK-0517,"0517, henno, johan.png"
F-0318,VRK-0520,"0520, herem, paul-nikolai-johann.png"
F-0319,VRK-0521,"0521, herm, johannes-eduard.png"
F-0320,VRK-0522,"0522, herne, alfred.png"
F-0321,VRK-0523,"0523, herne, eduard.png"
F-0322,VRK-0524,"0524, herriot, édouard.png"
F-0323,VRK-0529,"0529, hiielaid, hendrik.png"
