Roland Kangro      |      VR II/3
Peeter Kann      |      VR I/2
Julius Kannelaud      |      VR I/3
Friedrich-Johann Kapsi      |      VR I/3
Aleksander Kapstas      |      VR II/3
Rudolf Kaptein      |      VR III/3
Willem Karineem      |      VR II/3
Voldemar-Nikolai Karing      |       VR II/3
Juko Karjel      |      VR II/3
Lembit Karjel      |      VR II/3
Alfred-Georg Karklin      |      VR II/3
August Karlson      |      VR II/3
Jaan Karlson      |      VR II/3
Jaan Karm      |      VR II/3
Osvald Karm      |      VR II/3
Artur Kartna      |      VR I/3
Eduard Karu      |      VR II/3
Hans Karu      |      VR II/3
Julius Karu      |      VR II/3
Mart Karumets      |      VR II/3
Robert-Johannes Karunga      |       VR I/2
August Kasak      |      VR II/3
Johan-Leonhard Kase      |      VR II/3
August Kasekamp      |      VR II/3
Julius Kasemaa      |      VR II/3
Kaarel Kasemaa      |      VR II/3
Friedrich-Roman Kasepalu      |       VR II/3
Aleksander Kask      |      VR I/2
August Kask      |      VR II/3
Heinrich Kask      |      VR II/3
Karl Kask      |      VR II/3
Otto Kask      |      VR II/3
Peeter-Johann Kask      |      VR II/3, III/3
Rahuleid-Julius-Max Kask      |       VR II/3
Rudolf-Johannes Kask      |      VR II/3
Vassili Kask      |      VR II/3
Voldemar Kask      |      VR II/3
Jüri Kaskla      |      VR II/3
Mārtiņš Eduards Johans Kasparsons      |       VR II/3
Julius Kasper      |      VR II/3
Peeter Kass      |      VR II/3
Rudolf Kaste      |      VR I/3
Osvald Kastema      |      VR II/3
Juhan Kattai      |      VR II/3
Voldemar Kattel      |      VR II/3
Hugo-Eduard Kauler      |      VR I/2
Jaan Kaup      |      VR II/3
Gustav Kauts      |      VR II/3
Johannes Kedder      |      VR II/3
Hans Keek      |      VR II/3
Karl-Eduard Keerd      |      VR II/3
Karl-Robert Keerdoja      |      VR I/3
Oskar Keermaa      |      VR II/3
Julius Keerpärg      |      VR I/3
Arčibalds Keizerlings      |       VR I/3
Juhan Kelk      |      VR I/3
Julius Kendra      |      VR II/3
August Keng      |      VR III/3
Martin-Alexander Kepmann      |       VR II/3
Kristof Keskküla      |      VR II/3
Jakob Kesksalu      |      VR II/3
Aleksander Kesküla      |      VR II/3
Georg Kesküla      |      VR II/3
Mihail Kesküla      |      VR II/3
Edmund Kessler      |      VR I/2
Hilja Armida Kettunen      |      VR I/3
Lauri Einari Kettunen      |      VR I/2, III/2
Karl Kevend      |      VR II/3
August-Johannes Kielberg      |       VR I/3
Aleksander Kiigemaa      |      VR II/3
Joosep Kiili      |      VR II/3
Martin Kiisvek      |      VR II/3
Oskar Kikas      |      VR II/3
Karl Kikerpill      |      VR II/3
Ludolf Kilm      |      VR II/3
Karl Kimmel      |      VR II/3
Theodor-Friedrich Kindlam      |       VR II/3
August-Johann Kingo      |       VR I/3
Hans Kink      |      VR II/3
Johannes-Heinrich Kink      |      VR II/3
Johannes Kippar      |      VR II/3
Johannes-Ferdinand-Osvald Kippus      |       VR II/3
Hans Kirkmann      |      VR II/3
Evald-Ottokar Kirnmann      |       VR I/3
Elmar-Juhan Kirotar      |      VR II/3
August Kirs      |      VR II/3
Richard-Johann Kirschbaum      |       VR II/3
Robert-Heinrich Kirsipuu      |       VR II/3
Peeter Kirt      |      VR II/3
Johannes Kits      |      VR II/3
Andres Kitsel      |      VR II/3
Jaak Kitsing      |      VR II/3
Richard Kitsing      |      VR II/3
Artur Kiudorv      |      VR II/3
Kaarlo Edvard Kivekäs      |      VR I/2
Eik Kivilo      |      VR II/3
Martin-Johannes Kivilo      |      VR II/3
Rudolf Kivilo      |      VR II/3
Otto Kivimurd      |      VR II/3
Alfred-Ferdinand Kivinurm      |       VR III/3
Victor-Adalbert-Osvald Kivirand      |       VR II/3
Peeter Kivisaar      |      VR II/3
Johannes Kiviväli      |      VR II/3
Jaen Klaar      |      VR II/2, I/3, II/3
Aleksander Klaas      |      VR II/3
Herman Klaasen      |      VR II/3
Johannes Klamas      |      VR II/3
Aleksander Klasing      |      VR II/3
Julius-August Klasmann      |      VR II/3
Karl Klein      |      VR II/3
Valdemar Anton Carl Klein      |       VR I/3
Daniel-Rudolf Klement      |      VR II/3
Heikki Valentin Klemetti      |       VR I/3
Johannes Klesment      |      VR II/3
Aleksander Klettenberg      |       VR II/3
Jaan Klimbek      |      VR II/3
August Koern      |      VR II/3
Tõnis Koern      |      VR II/3
Viktor Koern      |      VR II/3
Ado Koger      |      VR II/3
Juhan Koger      |      VR II/3
Karl-Elmar Koger      |      VR II/2, II/3
Johannes Kohk      |      VR II/3
Voldemar-Karl Koht      |      VR II/3
Jaan Koidu      |      VR II/3
Allo Koik      |      VR I/3
Ants Koik      |      VR II/3
Jaak Koik      |      VR II/3
Nikolai Koik      |      VR II/3
Jakob Koitla      |      VR II/3
Eino Yrjö Koivisto      |      VR II/3
Märt Kokk      |      VR II/3
Oskar Kokk      |      VR II/3
Martin Koks      |      VR II/2, II/3
Friedrich-Johannes Kolde      |       VR II/3
Tuomas Vilho Koljonen      |      VR II/3
Eduard Kolk      |      VR II/3
Andres Kolle      |      VR II/3
Peeter Kolts      |      VR II/3
Alfred-Leopold Kolviko      |       VR II/3
Michitaro Komatsubara      |       VR I/2
Voldemar Konga      |      VR I/3, I/3
Oskar Kongo      |      VR II/3
Konstantin-Aleksander-Oskar Konik      |       VR III/1
Aleksander Konks      |      VR II/3
August-Eduard Kook      |      VR I/3
